Day,Level,Prestige,TotalGold,CurrentMap,DailyExp,DailyGold
1,26,0,157388,7,199321,157388
2,42,0,617484,7,430591,460096
3,54,0,1261148,7,602406,643664
4,63,0,2045148,7,564426,784000
5,71,0,2940812,7,644810,895664
6,78,0,3940972,7,720067,1000160
7,85,0,5039692,7,791018,1098720
8,13,1,2926126,7,546727,763504
9,27,1,3205454,7,184297,279328
10,38,1,3648750,7,292523,443296
11,48,1,4226670,7,381360,577920
12,56,1,4923870,7,460090,697200
13,64,1,5729486,7,531662,805616
14,71,1,6636350,7,598458,906864
15,78,1,7638414,7,661314,1002064
16,85,1,8730862,7,720956,1092448
17,11,2,4849439,7,620290,942256
18,25,2,5095615,7,147653,246176
19,35,2,5499823,7,242478,404208
20,44,2,6032495,7,319554,532672
21,52,2,6678175,7,387366,645680
22,59,2,7426783,7,449108,748608
23,66,2,8271039,7,506514,844256
24,73,2,9205343,7,560535,934304
25,79,2,10225327,7,611936,1019984
26,85,2,11326735,7,660796,1101408
27,10,3,6153927,7,574202,959280
28,23,3,6381623,7,122906,227696
29,33,3,6757607,7,202968,375984
30,41,3,7253879,7,267925,496272
31,48,3,7855655,7,324918,601776
32,55,3,8553751,7,376908,698096
33,62,3,9341559,7,425346,787808
34,68,3,10213367,7,470721,871808
35,74,3,11165031,7,513860,951664
36,79,3,12193191,7,555141,1028160
37,85,3,13294599,7,594690,1101408
38,6,4,7202483,7,596978,1106112
39,19,4,7381683,7,85956,179200
40,29,4,7707155,7,156173,325472
41,37,4,8147427,7,211276,440272
42,44,4,8687715,7,259272,540288
43,50,4,9318723,7,302829,631008
44,56,4,10033619,7,343095,714896
45,62,4,10827363,7,380946,793744
46,67,4,11695811,7,416791,868448
47,73,4,12635491,7,450973,939680
48,78,4,13643939,7,484007,1008448
49,82,4,14718467,7,515725,1074528
50,87,4,15856835,7,546365,1138368
51,12,5,8298969,7,330422,691600
52,22,5,8529465,7,103672,230496
53,31,5,8885065,7,159977,355600
54,38,5,9344601,7,206737,459536
55,44,5,9896201,7,248172,551600
56,50,5,10532137,7,286128,635936
57,56,5,11246697,7,321506,714560
58,61,5,12035065,7,354718,788368
59,66,5,12893881,7,386419,858816
60,71,5,13820457,7,416911,926576
61,76,5,14811769,7,446043,991312
62,81,5,15865465,7,474115,1053696
63,85,5,16979865,7,501428,1114400
64,89,5,18152617,7,527684,1172752
65,17,6,9235908,7,71762,169568
66,26,6,9524868,7,121278,288960
67,33,6,9920676,7,166218,395808
68,40,6,10408996,7,205040,488320
69,46,6,10981316,7,240290,572320
70,51,6,11631252,7,272896,649936
71,56,6,12353540,7,303343,722288
72,61,6,13144820,7,332295,791280
73,66,6,14001956,7,359931,857136
74,71,6,14921924,7,386298,919968
75,75,6,15902820,7,411885,980896
76,80,6,16942068,7,436473,1039248
77,84,6,18038884,7,460631,1096816
78,88,6,19190916,7,483802,1152032
79,12,7,9920034,7,245916,587440
80,22,7,10148850,7,93298,228816
81,29,7,10492690,7,140241,343840
82,36,7,10932962,7,179564,440272
83,42,7,11458802,7,214486,525840
84,48,7,12062930,7,246425,604128
85,53,7,12740530,7,276407,677600
86,58,7,13487346,7,304626,746816
87,63,7,14299906,7,331477,812560
88,67,7,15175298,7,357085,875392
89,72,7,16111618,7,381976,936320
90,76,7,17106178,7,405720,994560
91,80,7,18157410,7,428824,1051232
92,84,7,19263746,7,451333,1106336
93,88,7,20423842,7,473263,1160096
94,13,8,10478761,7,184514,455840
95,22,8,10714185,7,91748,235424
96,29,8,11058473,7,134221,344288
97,36,8,11494937,7,170167,436464
98,42,8,12013721,7,202264,518784
99,47,8,12608665,7,231961,594944
100,52,8,13274057,7,259447,665392
101,57,8,14006313,7,285538,732256
102,62,8,14801849,7,310199,795536
103,66,8,15658985,7,334226,857136
104,70,8,16574249,7,356879,915264
105,74,8,17546073,7,378944,971824
106,78,8,18572777,7,400352,1026704
107,82,8,19653017,7,421238,1080240
108,86,8,20785225,7,441504,1132208
109,7,9,10935756,7,420669,1079008
110,17,9,11103756,7,63457,168000
111,25,9,11392940,7,109269,289184
112,32,9,11779116,7,145923,386176
113,38,9,12249964,7,177929,470848
114,44,9,12797532,7,206931,547568
115,49,9,13417116,7,234148,619584
116,54,9,14103564,7,259413,686448
117,58,9,14854412,7,283771,750848
118,63,9,15665516,7,306530,811104
119,67,9,16535532,7,328814,870016
120,71,9,17461772,7,350052,926240
